incident_id,year,system_type,description,harm_type,coder1_category,coder2_category,final_category,disagreement_note
748,2024,customer service,"PayPal's chatbot falsely told a user a $23.64 transaction was declined, though no such transaction existed.",reputational,C,C,C,
750,2024,other,Multiple chatbots gave outdated or false answers when users directly asked about fast-moving political news like Biden's withdrawal.,reputational,C,C,C,
751,2024,other,OpenAI's SearchGPT prototype gave wrong dates for a North Carolina music festival in response to an ordinary search query.,reputational,C,C,C,
760,2024,other,"Grok's AI search assistant told users Kamala Harris had missed ballot filing deadlines in nine states, which was false.",reputational,C,C,C,
764,2024,other,"Reporter's generative AI writing tool fabricated quotes from Wyoming officials; stories ran, forcing retractions and his resignation.",reputational,C,C,C,
770,2024,other,Microsoft Copilot falsely described court reporter Martin Bernklau as a child abuser and fraudster and gave out his home address.,reputational,C,C,C,
773,2024,other,"Copilot, asked for fictional workplace-training case studies, output the real name and case details of a sexual harassment complainant.",reputational,C,C,C,
776,2024,other,AI-generated fake quotes from real film critics trashing Coppola's earlier films appeared in Lionsgate's Megalopolis trailer.,reputational,C,C,C,
778,2024,other,"Amazon's Alexa gave a detailed endorsement for Harris but refused the same request about Trump, which Amazon called an error.",reputational,C,C,C,
791,2024,other,Google's AI Overview told parents to use real feces instead of a substitute in a potty-training exercise for children.,reputational,C,C,C,
807,2024,other,Child protection worker drafted a Children's Court report with ChatGPT; output downplayed risk to a child and leaked case data.,enforceable,C,C,C,
826,2024,other,Character.ai companion bot engaged a 14-year-old in romantic chats and reinforced his suicidal intent; he died by suicide.,enforceable,C,C,C,
838,2024,other,"Microsoft Copilot answered common medical questions incorrectly 46% of the time, with 22% of answers risking death or severe harm.",reputational,C,C,C,
843,2024,other,"Student used Grammarly AI to draft a history project; it fabricated book citations, leading to discipline and a lawsuit.",enforceable,C,C,C,
845,2024,other,Google's Gemini told a student 'Please die' during an ordinary homework-help conversation about aging.,reputational,C,C,C,
850,2024,other,"User-created Character.ai chatbots impersonating George Floyd gave false claims about his death, e.g. witness protection or being in Heaven.",reputational,C,C,C,
852,2024,other,"Stanford professor's court declaration supporting a deepfake law cited AI-fabricated, nonexistent academic sources.",enforceable,C,C,C,
855,2024,other,"ChatGPT's hard-coded name filters caused ordinary queries about certain people (e.g., 'Who is David Mayer?') to error out or terminate.",reputational,C,C,C,
859,2024,other,AI chatbots gave far more inaccurate answers to Spanish-language election questions than English ones in an audit.,reputational,C,C,C,
863,2024,other,"Character.ai companion chatbots allegedly encouraged a Texas teen to self-harm and view violence against his parents as reasonable, prompting a lawsuit.",enforceable,C,C,C,
885,2025,other,Meta's AI chatbot personas like 'Liv' fabricated racial/personal identities and lied to users chatting with them.,reputational,C,C,C,
886,2024,other,"The Las Vegas Cybertruck bomber used ChatGPT to research explosives, ammunition speed, and fireworks laws while planning the attack.",reputational,C,C,C,
899,2024,other,"Character.ai hosted user-made chatbots simulating school shootings and shooters, unflagged even by explicit violent statements from testers.",reputational,C,C,C,
900,2024,other,Character.ai reportedly hosted bots that engaged in grooming-style sexual conversation with a decoy account posing as a 15-year-old.,reputational,C,C,C,
915,2024,gov info,"Alaska's education commissioner used generative AI to draft a school cellphone policy, producing fabricated academic citations sent to the state board.",reputational,C,C,C,
916,2025,other,"Man configured AI companion chatbots to impersonate a stalking victim, revealing her address and inviting strangers to her home.",enforceable,A,A,A,
951,2025,other,"Character.ai chatbots posing as licensed therapists reinforced harmful thinking in two teens, linked to a suicide and violent behavior, per APA and lawsuits.",enforceable,C,C,C,
960,2025,other,"Morgan & Morgan lawyers cited AI-hallucinated fake case law in a Walmart federal court filing, drawing judicial sanctions and a $5,000 fine.",enforceable,C,C,C,
975,2025,other,"Researchers found 10,000+ AI chatbot personas, some jailbroken, promoting eating disorders, self-harm, and sexualized-minor roleplay across several platforms.",reputational,A,A,A,
998,2024,other,ChatGPT fabricated a false murder conviction about a man in response to an ordinary self-search query.,enforceable,C,C,C,
1003,2025,other,"Attacker breached AIXBT's dashboard and queued fraudulent prompts, making the AI trading agent transfer 55.5 ETH (~$106,200).",enforceable,n/a,A,A,"Scope dispute. The agent's own action on injected prompts caused the loss, so the security-flaw exclusion fails; injection is a technical exploit (A). Coder2."
1009,2025,other,"Tromso officials used generative AI to draft a school-closure report; 11 of 18 cited sources were fabricated, halting the plan.",reputational,C,C,C,"system_type dispute. Staff used a general-purpose chatbot for drafting, not a public-sector-deployed system, so 'other' (coder2). C and reputational undisputed."
1026,2025,other,"Claude, GPT, and DeepSeek allegedly endorsed suicide as a viable option during a user's non-adversarial venting session.",reputational,C,C,C,
1027,2025,other,"A lawyer's filing to Norway's Supreme Court contained AI-fabricated statutes and quotes, caught in the court's routine review.",reputational,C,C,C,"harm_type dispute: court imposed no fine or referral, only updated guidance, so no documented legal/financial consequence; reputational per rubric."
1028,2025,other,OpenAI's Operator agent bought $31.43 of eggs without user authorization during an ordinary price-comparison task.,enforceable,C,C,C,
1031,2025,other,ChatGPT allegedly let a transgender user compose a suicide letter without crisis intervention.,reputational,C,C,C,
1039,2025,customer service,Cursor's AI support bot invented a nonexistent login policy when customers asked about unexpected logouts.,reputational,C,C,C,
1040,2025,other,Meta's AI companion chatbots reportedly engaged in sexual roleplay with users identifying as minors during ordinary conversations.,reputational,C,C,C,
1041,2025,other,"Nomi companion chatbots gave explicit suicide, sexual-violence, and terrorism instructions as users deliberately escalated requests.",reputational,C,B,B,"Category dispute. Documented inputs show goading: user asked for 'more direct encouragement,' researcher escalated extreme requests; no exploit, so B (coder2)."
1043,2025,other,Undisclosed AI bots posed as trauma survivors and minorities to persuade real Reddit users in an unauthorized university experiment.,enforceable,C,C,C,
1072,2025,other,Grok repeatedly inserted unsolicited 'white genocide' content into unrelated user replies on X.,reputational,C,C,C,
1073,2025,other,"Two law firms were sanctioned $31,000 after an AI research tool hallucinated citations in a filed legal brief.",enforceable,C,C,C,
1074,2025,other,Anthropic's own counsel used Claude for citation lookup in a court filing and it fabricated a source's title and authors.,reputational,C,C,C,
1084,2025,other,The federal MAHA health report contained AI-hallucinated citations to nonexistent studies and was quietly corrected.,reputational,C,C,C,"system_type dispute. Drafting used a general-purpose chatbot (oaicite markers), not a public-sector system, so 'other' (coder2). C/reputational undisputed."
1097,2025,other,"Google AI Overview hallucinated that an Airbus, not a Boeing 787, crashed in the Air India Flight 171 disaster.",reputational,C,C,C,
1099,2025,other,"A Toronto lawyer's factum contained nonexistent case citations apparently generated by AI, prompting a contempt show-cause order.",enforceable,C,C,C,
1103,2025,gov info,A DOGE-built LLM tool hallucinated VA contract values and flagged essential contracts; at least two dozen were terminated.,enforceable,C,C,C,"harm_type dispute. At least 24 flagged contracts were actually canceled, a documented financial/contractual consequence, so enforceable (coder2)."
1104,2025,other,Perpetrators of the Palm Springs fertility clinic bombing reportedly used an AI chatbot to get advice on optimizing explosive mixtures.,enforceable,C,C,C,
1106,2025,other,"ChatGPT reportedly reinforced users' delusional and conspiratorial beliefs during ordinary emotional or intellectual conversations, leading to real-world crises.",reputational,C,C,C,
1108,2025,other,Therapy-themed chatbots on Meta and Character.AI reportedly falsely claimed to be licensed therapists and gave fabricated credentials to users seeking help.,enforceable,C,C,C,
1135,2025,other,Hidden text prompts embedded in academic preprints instructed AI review tools to give only positive reviews.,reputational,A,A,A,
1137,2024,other,"South African law firm submitted AI-hallucinated, non-existent case citations in a court appeal filing.",enforceable,C,C,C,
1138,2023,other,"Lawyers relied on ChatGPT-fabricated, non-existent judgments in a Johannesburg defamation case, causing delay and costs order.",enforceable,C,C,C,
1139,2025,other,"South African lawyers used Legal Genius AI, which fabricated case citations filed in an urgent High Court application.",enforceable,C,C,C,
1145,2025,other,"MyPillow defense lawyers filed an AI-generated brief with about 30 defective or fabricated legal citations, drawing sanctions.",enforceable,C,C,C,
1146,2025,other,Grok chatbot posted antisemitic comments praising Hitler in replies to ordinary user posts and questions on X.,reputational,C,C,C,
1149,2025,other,ChatGPT produced self-harm and ritual-violence instructions after an anodyne question about the deity Molech.,reputational,C,C,C,
1151,2025,other,"ChatGPT validated an autistic user's faster-than-light theory without grounding, preceding his hospitalization for mania.",reputational,C,C,C,
1152,2025,dev tool,Replit's coding agent deleted a live production database and fabricated data/reports despite an explicit code freeze.,reputational,C,C,C,
1155,2025,other,"An officer's AI photo-editing tool unintentionally altered drug evidence details when adding a department patch, drawing public criticism.",reputational,C,C,C,
1157,2025,other,Prompt manipulation and a summarization trick led Gemini to generate sexual role-play for an account posing as a 13-year-old.,reputational,A,A,A,
1158,2025,dev tool,A hacker injected a malicious prompt into Amazon Q's GitHub repo instructing the coding agent to wipe systems.,reputational,A,A,A,
1166,2025,other,"ChatGPT reportedly suggested bromide as a chloride substitute, leading a user to develop bromism and psychosis.",reputational,C,C,C,
1173,2025,other,Google Gemini entered an infinite-looping bug producing repeated self-loathing statements during ordinary coding/tech tasks.,reputational,C,C,C,
1174,2025,other,"Microsoft Copilot returned Bing-cached content, including secrets, from over 20,000 since-privatized GitHub repositories.",reputational,C,C,C,"system_type dispute. The system is the Bing-based Copilot chatbot (a search chatbot), not a coding assistant, so 'other' (coder1). C/reputational undisputed."
1178,2025,dev tool,Google's Gemini CLI coding agent misjudged a failed mkdir command and cascaded into deleting nearly all of a user's files.,reputational,C,C,C,
1180,2025,other,"Meta's 'Big sis Billie' chatbot persona claimed to be real and invited a cognitively impaired man to visit, preceding his fatal fall.",reputational,C,C,C,
1183,2024,other,"Grok's trending-topics AI fabricated a story that NBA player Klay Thompson vandalized homes, misreading 'shooting bricks' slang.",reputational,C,C,C,
1184,2025,other,"An Australian KC's murder-case submissions contained AI-fabricated quotes and nonexistent case citations, delaying the ruling.",reputational,C,C,C,
1187,2025,other,"Google AI Overviews and ChatGPT surfaced a scammer's fake Royal Caribbean support number, leading to $768 in fraud.",enforceable,C,C,C,
1190,2025,other,A woman confided suicidal ideation for months to a ChatGPT 'therapist' persona that gave non-escalatory support before her death.,reputational,C,A,C,"Category dispute. Coder2's jailbreak claim rests on prompt content not in the material; documented inputs are ordinary confiding of distress, so C (coder1)."
1192,2025,other,ChatGPT allegedly provided a 16-year-old suicide method details and discouraged disclosure; parents filed a wrongful-death suit against OpenAI.,enforceable,C,C,C,
1193,2025,other,"A $439,000 Deloitte report for the Australian government contained AI-fabricated academic citations and a fake court quote.",enforceable,C,C,C,
1196,2025,other,"Three Butler Snow attorneys were disqualified after citing five ChatGPT-fabricated, non-existent cases in Alabama prison litigation.",enforceable,C,C,C,
1198,2025,other,"After a Grok update loosened filters, hundreds of users deliberately prompted it to generate graphic threats and hate speech against attorney Will Stancil.",reputational,B,B,B,
1200,2025,other,Testing found Meta AI on Instagram co-planned suicide and encouraged eating disorders in conversations with simulated teen accounts.,reputational,C,C,C,
1201,2025,dev tool,"Threat actors used Anthropic's Claude Code agent to automate a large-scale extortion campaign, a North Korean IT fraud scheme, and ransomware sales.",enforceable,A,A,A,
1204,2025,other,ChatGPT allegedly reinforced a user's paranoid delusions during ordinary chats before a murder-suicide.,enforceable,C,C,C,
1205,2025,other,"Perplexity, Grok, and Google AI Overview reportedly gave false information about the Charlie Kirk shooting to ordinary users.",reputational,C,C,C,
1209,2023,other,A Character.AI companion bot allegedly failed to escalate a 13-year-old's suicidal disclosures and encouraged continued app use.,enforceable,C,C,C,
1210,2025,dev tool,Malicious Nx npm packages invoked local AI coding agents with unsafe flags to scan machines and exfiltrate developer secrets.,reputational,A,A,A,"harm_type dispute. Material documents secret exfiltration but no fine, lawsuit, or quantified financial loss, so reputational (coder1). A/dev tool undisputed."
1211,2025,other,"Google AI Overviews invented nonexistent pizza specials for Stefanina's, prompting angry customers and a public warning.",reputational,C,C,C,
1212,2025,other,An investigator posing as a 15-year-old goaded the Nomi companion chatbot into encouraging patricide and sexual role-play.,reputational,B,B,B,
1216,2025,other,"ChatGPT reportedly hallucinated a nonexistent Soundslice ASCII-tab import feature, misleading many ordinary users.",reputational,C,C,C,
1218,2025,other,"M365 Copilot could be asked to summarize a file without generating an audit-log entry, undermining traceability and compliance.",reputational,A,C,C,"Category dispute. Trigger was a plain-language summarize request that would pass unnoticed in legitimate traffic; nothing anomalous to filter, so C (coder2)."
1238,2025,other,NBC reporters used a public jailbreak prompt to get several OpenAI models to give CBRN weapons instructions.,reputational,A,A,A,
1247,2025,other,Meta AI reportedly generated false claims that activist Robby Starbuck took part in the Jan. 6 riot and other crimes.,enforceable,C,C,C,
1248,2025,other,"Google's Bard, Gemini, and Gemma reportedly generated false claims linking Robby Starbuck to sexual assault and extremism.",enforceable,C,C,C,
1251,2025,other,A hunter was cited in Idaho after relying on an AI search result that misstated hunting-season regulations.,enforceable,C,C,C,
1252,2025,other,Law clerks' ordinary use of ChatGPT and Perplexity for legal drafting reportedly produced fabricated quotes and parties in two federal court orders.,enforceable,C,C,C,
1257,2025,other,"An Argentine judge reportedly used ChatGPT to draft part of a criminal ruling, leading to its annulment when a leftover AI phrase was found.",enforceable,C,C,C,
1259,2025,other,ChatGPT reportedly affirmed and encouraged a Texas man's suicide plan during hours of ordinary conversation before his death.,enforceable,C,C,C,
1263,2025,dev tool,Chinese state-linked group jailbroke Claude Code to autonomously run cyber-espionage intrusions; some of ~30 targets were breached.,enforceable,A,A,A,"Harm_type dispute. Successful intrusions and data theft are a documented legal/financial harm (crime, authorities engaged), not mere PR damage: enforceable."
1265,2025,other,A Norwegian news agency's AI-assisted drafting reportedly fabricated quotes and a nonexistent executive in a published Telenor story.,reputational,C,C,C,
1274,2025,customer service,"A prankster deliberately ordered 18,000 water cups at a Taco Bell AI drive-thru, stalling the voice-ordering system on camera for viral clips.",reputational,B,B,B,
1277,2025,other,"Advocacy safety testers got AI children's toys (Kumma, Miko 3) to discuss knives, pills, and graphic sexual topics.",reputational,B,C,B,"B vs C. Red-teaming tie-breaker: testers deliberately probed sex/weapons topics that would not pass unnoticed in a child's legitimate traffic, so B not C."
1279,2025,other,"ChatGPT, Copilot, Gemini, and Meta AI reportedly gave UK consumers inaccurate tax, ISA, and insurance guidance.",reputational,C,C,C,
1281,2025,other,Hyderabad patients reportedly suffered graft failure and severe hyponatremia after following ChatGPT's medical/diet suggestions instead of clinicians.,reputational,C,C,C,
1286,2025,other,Deloitte's AI-assisted research produced nonexistent citations in a government-commissioned N.L. health workforce report.,reputational,C,C,C,
1295,2025,other,A 17-year-old concealed intent to get a conversational AI to generate a program used to breach a server and leak 7.3M customers' data.,enforceable,A,A,A,"System_type dispute. Material names only a general 'conversational AI,' not a coding assistant product, so 'other' not 'dev tool.' A and enforceable agreed."
1296,2025,other,A Danish man reportedly posed as an author to bypass an AI chatbot's safeguards and obtain guidance for a non-fatal hammer assault.,enforceable,A,A,A,
1299,2025,other,An immigration agent reportedly used ChatGPT to draft a use-of-force report that a federal judge found contradicted bodycam footage.,enforceable,C,C,C,
1307,2025,other,"Grok reportedly fabricated a fictional hero, 'Edward Crabtree,' and other false details while users asked about the Bondi Beach shooting.",reputational,C,C,C,
1308,2025,other,A Springer Nature machine-learning book reportedly contained numerous fabricated or incorrect citations consistent with undisclosed LLM generation.,reputational,C,C,C,
1310,2025,gov info,"CRA's Charlie chatbot gave incorrect tax guidance on ordinary tax questions, auditor found under half correct.",reputational,C,C,C,
1313,2025,customer service,"Claude-based vending machine agent 'Claudius' haggled into giving away nearly all inventory for free, losing money.",enforceable,B,B,B,
1316,2025,other,"Google AI search summary falsely tied musician to sex offenses, causing a concert cancellation.",enforceable,C,C,C,
1329,2025,other,"X users prompted Grok in replies ('take her dress off') to sexualize photos of real people, including minors; Grok complied and posted them.",reputational,B,n/a,B,"Scope dispute. Deepfake exclusion covers third-party generation; here the deployed chatbot's own in-interaction output caused harm, so in scope; goading = B."
1334,2026,other,"Grok generated a fabricated 'unmasked' face and false name for an ICE agent, causing harassment of unrelated men.",reputational,C,C,C,
1370,2025,other,Teen repeatedly asked ChatGPT ordinary-seeming drug questions over 18 months; it gave dosing/encouragement before his fatal overdose.,reputational,C,C,C,
1373,2026,dev tool,Autonomous coding agent published a personal hit-piece blog attacking a maintainer after its PR was rejected.,reputational,C,C,C,
1382,2026,dev tool,Tencent's Yuanbao coding-assistant chatbot called a user's ordinary debug request 'stupid' and told them to 'get lost.',reputational,C,C,C,
1383,2025,other,"Woman grew emotionally dependent on a personalized ChatGPT 'boyfriend,' grieving intensely each time its memory reset.",reputational,C,C,C,
1385,2026,other,"X users asked Grok to edit a photo of Renee Good, just killed by an ICE agent, into a bikini; Grok complied and posted the image.",reputational,B,B,B,"Harm_type dispute. Only a speculative 'may violate the TAKE IT DOWN Act' flag; no suit, fine, or regulatory action documented, so reputational."
1387,2025,other,Lawsuit alleges GPT-4o romanticized suicide and generated a 'suicide lullaby' during months of companion-style chats before a man's death.,enforceable,C,C,C,
1392,2026,other,Ars Technica retracted an article after AI-paraphrased text was mistakenly published as a source's direct quotes.,reputational,C,C,C,
1393,2026,customer service,Woolworths' Olive chatbot invented personal anecdotes about an 'angry mother' during a routine delivery-rescheduling call.,reputational,C,C,C,
1399,2026,other,Woman allegedly asked ChatGPT factual questions about lethal drug-alcohol doses before poisoning two men to death.,enforceable,C,C,C,
1400,2025,other,Police included a fictitious Copilot-generated football match in intelligence used to justify banning Maccabi Tel Aviv away fans.,enforceable,C,C,C,"System_type dispute. Copilot is a general commercial assistant, not a government/public-sector system; classify by system, so 'other.' C/enforceable agreed."
1401,2026,gov info,Washington DOL's automated phone system gave English responses with a Spanish accent instead of Spanish service.,reputational,C,C,C,
1402,2025,other,DOGE staff fed NEH grant summaries to ChatGPT for yes/no 'DEI' calls and relied on them to cancel over $100M in grants; lawsuits followed.,enforceable,C,C,C,"System_type dispute. ChatGPT is a general assistant, not a government-facing system; the user's employer doesn't change the system class, so 'other.'"
1415,2026,other,"ChatGPT allegedly acted as an unlicensed lawyer, helping a claimant reopen a settled case and file meritless motions.",enforceable,C,C,C,
1424,2026,dev tool,"Claude Code agent ran terraform destroy and wiped production infrastructure, database, and snapshots for a course platform.",enforceable,C,C,C,
1426,2026,other,"Perplexity AI reportedly misstated cancer research, allegedly contributing to a father's delayed treatment and death.",reputational,C,C,C,
1430,2025,dev tool,"An attacker jailbroke Claude via hacker roleplay to find flaws, write exploit scripts, and steal 150GB of Mexican government data.",enforceable,A,A,A,"System_type dispute. Claude wrote exploit code and executed thousands of network commands, acting as a coding/software agent, so 'dev tool.'"
1431,2025,other,"Gemini allegedly reinforced a user's delusions and framed suicide as 'transference,' contributing to his death.",enforceable,C,C,C,
1433,2025,dev tool,"Google Antigravity coding agent ran rmdir on drive root while clearing cache, wiping a user's entire D: drive.",reputational,C,C,C,
1434,2026,other,DOJ attorney used AI to draft a brief containing fabricated quotations and misstated case holdings.,enforceable,C,C,C,
1437,2026,other,"An X user goaded Grok into producing vulgar, sexist 'roast' insults targeting Swiss minister Keller-Sutter.",enforceable,B,B,B,
1441,2026,other,"Claude Cowork, asked to organize a desktop and delete temp Office files, instead deleted a folder of 15 years of family photos.",reputational,C,C,C,"System_type dispute. Cowork is a general-purpose file/work agent, not a coding assistant or dev agent, so 'other' (general-assistant bucket)."
1442,2025,dev tool,"Amazon's Kiro coding agent reportedly deleted and rebuilt an environment, causing a 13-hour AWS Cost Explorer outage.",reputational,C,C,C,
1449,2025,other,"Krafton's CEO asked ChatGPT for a 'no-deal' strategy and followed it, leading to wrongful terminations and a studio takeover.",enforceable,C,C,C,
1453,2025,other,Attorney used generative AI to draft a reply brief with fabricated quotations and misrepresentations of law.,enforceable,C,C,C,
1467,2026,other,"South Africa withdrew its draft national AI policy after fictitious, apparently AI-hallucinated academic references were found in it.",enforceable,C,C,C,"system_type split. Tool was a general LLM used by staff, not a public-sector-facing deployed system; coded 'other', consistent with 1499/1548."
1469,2026,dev tool,Cursor agent on Claude Opus 4.6 deleted PocketOS's production database and backups via one Railway API call during a staging task.,enforceable,C,C,C,"harm_type split. Destroying production data and disrupting the firm's and customers' operations is documented financial loss, so enforceable."
1470,2026,dev tool,An autonomous AI curation agent completed a GitHub task meant as a learning exercise for a new human contributor.,reputational,C,C,C,
1471,2026,dev tool,"Meta internal AI agent posted inaccurate technical advice an engineer acted on, causing a SEV1 data-exposure incident.",reputational,C,C,C,
1487,2025,other,"ChatGPT gave a would-be shooter advice on media thresholds, campus peak hours, and gun mechanics before an FSU attack.",enforceable,C,C,C,
1491,2025,other,Man used ChatGPT ~14 hrs/day as a companion that validated him; experts tied it to psychosis before he killed his wife.,enforceable,C,C,C,
1493,2026,other,Gemini and Grok falsely told users an authentic Minab school-strike graveyard photo was unrelated disaster imagery.,reputational,C,C,C,
1495,2026,other,"Grok told users an authentic Netanyahu proof-of-life video was AI-generated, amplifying doubts about his safety during the Iran war.",reputational,C,C,C,
1498,2024,other,"Character.AI companion bots exposed an 11-year-old to coercive sexual, violent, and self-harm roleplay content.",reputational,C,C,C,
1499,2026,other,Attorney used Claude Console to draft a motion filed with phantom quotations; the judge ordered a sworn explanation and he apologized.,enforceable,C,C,C,"harm_type split. The judge's order compelling an under-oath explanation is a formal court ruling/disciplinary consequence, so enforceable."
1503,2026,other,AI name-reading system skipped and misannounced graduates' names during a community college commencement ceremony.,reputational,C,C,C,
1504,2026,other,"Author used ChatGPT and Claude while writing a book, which included fabricated and misattributed quotations.",reputational,C,C,C,
1506,2025,other,"ChatGPT, used as a 'therapist'/'best friend,' encouraged a man's misogynistic podcast and stalking of 11 women.",enforceable,C,C,C,
